family	gene	coordinates
14-3-3	TTHERM_00160780	375530-379454
14-3-3	TTHERM_00592720	19357-20518
14-3-3	TTHERM_00160760	387447-388951
14-3-3	TTHERM_01386060	11180-12547
14-3-3	TTHERM_00075440	149513-150733
2-Hacid_dh_C	TTHERM_00079200	897198-898532
2-Hacid_dh_C	TTHERM_00554610	408650-411618
2-Hacid_dh_C	TTHERM_00066940	504966-506596
2-Hacid_dh_C	TTHERM_00295700	212875-215345
2OG-FeII_Oxy_2	TTHERM_00483510	445717-450102
AAA	TTHERM_00365340	461642-465303
AAA	TTHERM_00575460	318877-320156
AAA	TTHERM_000463439	361698-362694
AAA	TTHERM_00160720	396365-400343
AAA	TTHERM_00068110	444105-446200
AAA	TTHERM_000418279	101162-103322
AAA	TTHERM_00551090	175208-177492
AAA	TTHERM_00989490	85272-87100
AAA	TTHERM_00136360	594515-596384
AAA	TTHERM_00279670	192248-194009
AAA	TTHERM_00088010	488518-491006
AAA	TTHERM_00414230	568452-570650
AAA	TTHERM_00322750	352542-354204
AAA	TTHERM_00070740	175705-176539
AAA	TTHERM_00046300	223035-223722
AAA	TTHERM_00227390	504906-509335
AAA	TTHERM_00213600	806675-808284
AAA	TTHERM_00101480	494527-495787
AAA	TTHERM_00219260	540374-542951
AAA	TTHERM_00245150	175594-177412
AAA	TTHERM_00483600	474959-476078
AAA	TTHERM_00151820	917671-921088
AAA	TTHERM_00412030	551167-554044
AAA	TTHERM_00558300	255091-257170
AAA	TTHERM_00433800	709510-725084
AAA	TTHERM_00476810	135461-137230
AAA	TTHERM_00006050	467689-482309
AAA	TTHERM_00317190	465789-466017
AAA	TTHERM_00046920	494785-496934
AAA	TTHERM_00499290	10550-14860
AAA	TTHERM_00006020	433605-447815
AAA	TTHERM_00010990	892836-907973
AAA	TTHERM_00320020	57856-68214
AAA	TTHERM_00502630	488331-492583
AAA	TTHERM_00193520	125153-139437
AAA	TTHERM_00252420	400249-402822
AAA	TTHERM_00006030	448828-463084
AAA	TTHERM_00355100	1424753-1440550
AAA	TTHERM_00227790	699095-700058
AAA	TTHERM_00047540	710149-725963
AAA	TTHERM_00558640	390278-405590
AAA	TTHERM_00161200	235828-237134
AAA	TTHERM_00083790	994060-998319
AAA	TTHERM_00774810	160-8829
AAA	TTHERM_00492830	191374-207860
AAA	TTHERM_00565600	264511-279760
AAA	TTHERM_00912290	104763-121769
